Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 256
Overriding: batch_size = 8
Overriding: max_iters = 2000
Overriding: dropout = 0.1
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e256_bs8_it2000_do01
Overriding: wandb_log = False
tokens per iteration will be: 20,480
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 3.16M
num decayed parameter tensors: 18, with 3,178,752 parameters
num non-decayed parameter tensors: 9, with 2,304 parameters
using fused AdamW: True
step 0: train loss 4.2853, val loss 4.2801
iter 271: loss 2.4110, time 239.03ms, mfu 0.55%
iter 272: loss 2.4296, time 247.04ms, mfu 0.55%
iter 273: loss 2.3574, time 232.61ms, mfu 0.55%
iter 274: loss 2.4291, time 248.00ms, mfu 0.55%
iter 275: loss 2.4215, time 238.00ms, mfu 0.55%
iter 276: loss 2.3556, time 224.02ms, mfu 0.55%
iter 277: loss 2.4589, time 231.15ms, mfu 0.55%
iter 278: loss 2.3830, time 228.09ms, mfu 0.55%
iter 279: loss 2.4232, time 231.60ms, mfu 0.55%
iter 280: loss 2.3968, time 246.01ms, mfu 0.55%
iter 281: loss 2.4299, time 238.62ms, mfu 0.55%
iter 282: loss 2.4403, time 231.00ms, mfu 0.55%
iter 283: loss 2.3717, time 251.06ms, mfu 0.55%
iter 284: loss 2.4188, time 235.56ms, mfu 0.55%
iter 285: loss 2.3675, time 233.02ms, mfu 0.55%
iter 286: loss 2.4870, time 234.03ms, mfu 0.55%
iter 287: loss 2.3492, time 226.65ms, mfu 0.55%
iter 288: loss 2.4662, time 235.06ms, mfu 0.55%
iter 289: loss 2.3645, time 239.13ms, mfu 0.55%
iter 290: loss 2.4720, time 259.58ms, mfu 0.55%
iter 291: loss 2.4963, time 296.54ms, mfu 0.54%
iter 292: loss 2.4677, time 227.08ms, mfu 0.54%
iter 293: loss 2.3049, time 231.54ms, mfu 0.54%
iter 294: loss 2.3779, time 233.01ms, mfu 0.54%
iter 295: loss 2.3747, time 234.10ms, mfu 0.54%
iter 296: loss 2.3572, time 237.62ms, mfu 0.54%
iter 297: loss 2.3165, time 230.03ms, mfu 0.55%
iter 298: loss 2.4283, time 246.10ms, mfu 0.54%
iter 299: loss 2.4620, time 275.55ms, mfu 0.54%
iter 300: loss 2.3660, time 233.57ms, mfu 0.54%
iter 301: loss 2.3747, time 229.02ms, mfu 0.54%
iter 302: loss 2.3651, time 241.05ms, mfu 0.54%
iter 303: loss 2.4103, time 230.55ms, mfu 0.54%
iter 304: loss 2.3642, time 237.11ms, mfu 0.54%
iter 305: loss 2.4717, time 230.08ms, mfu 0.55%
iter 306: loss 2.3633, time 235.54ms, mfu 0.55%
iter 307: loss 2.3838, time 241.18ms, mfu 0.55%
iter 308: loss 2.3269, time 231.09ms, mfu 0.55%
iter 309: loss 2.3875, time 217.56ms, mfu 0.55%
iter 310: loss 2.3323, time 214.52ms, mfu 0.56%
iter 311: loss 2.3898, time 230.05ms, mfu 0.56%
iter 312: loss 2.4277, time 237.04ms, mfu 0.56%
iter 313: loss 2.4014, time 231.53ms, mfu 0.56%
iter 314: loss 2.4327, time 218.05ms, mfu 0.56%
iter 315: loss 2.3921, time 229.02ms, mfu 0.56%
iter 316: loss 2.4308, time 275.53ms, mfu 0.55%
iter 317: loss 2.4050, time 245.02ms, mfu 0.55%
iter 318: loss 2.3687, time 237.55ms, mfu 0.55%
iter 319: loss 2.2869, time 233.02ms, mfu 0.55%
iter 320: loss 2.4351, time 238.56ms, mfu 0.55%
iter 321: loss 2.3670, time 234.52ms, mfu 0.55%
iter 322: loss 2.2827, time 241.05ms, mfu 0.55%
iter 323: loss 2.3017, time 240.56ms, mfu 0.55%
iter 324: loss 2.3910, time 231.03ms, mfu 0.55%
iter 325: loss 2.2859, time 226.64ms, mfu 0.55%
iter 326: loss 2.4723, time 224.04ms, mfu 0.55%
iter 327: loss 2.3462, time 234.64ms, mfu 0.55%
iter 328: loss 2.4095, time 232.05ms, mfu 0.55%
iter 329: loss 2.2719, time 245.05ms, mfu 0.55%
iter 330: loss 2.2637, time 244.16ms, mfu 0.55%
iter 331: loss 2.3314, time 230.05ms, mfu 0.55%
iter 332: loss 2.3754, time 231.10ms, mfu 0.55%
iter 333: loss 2.2975, time 244.00ms, mfu 0.55%
iter 334: loss 2.2531, time 258.52ms, mfu 0.55%
iter 335: loss 2.4453, time 223.06ms, mfu 0.55%
iter 336: loss 2.3429, time 283.58ms, mfu 0.54%
iter 337: loss 2.2862, time 231.04ms, mfu 0.54%
iter 338: loss 2.3592, time 214.04ms, mfu 0.55%
iter 339: loss 2.2888, time 223.04ms, mfu 0.55%
iter 340: loss 2.3917, time 215.03ms, mfu 0.56%
iter 341: loss 2.3030, time 249.57ms, mfu 0.55%
iter 342: loss 2.3666, time 236.99ms, mfu 0.55%
iter 343: loss 2.2994, time 223.56ms, mfu 0.56%
iter 344: loss 2.3992, time 219.04ms, mfu 0.56%
iter 345: loss 2.4317, time 230.04ms, mfu 0.56%
iter 346: loss 2.2913, time 224.03ms, mfu 0.56%
iter 347: loss 2.1668, time 234.62ms, mfu 0.56%
iter 348: loss 2.2507, time 233.02ms, mfu 0.56%
iter 349: loss 2.3440, time 244.08ms, mfu 0.56%
iter 350: loss 2.3305, time 257.59ms, mfu 0.55%
iter 351: loss 2.2795, time 253.01ms, mfu 0.55%
iter 352: loss 2.2160, time 248.05ms, mfu 0.55%
iter 353: loss 2.4021, time 246.03ms, mfu 0.54%
iter 354: loss 2.4029, time 228.54ms, mfu 0.55%
iter 355: loss 2.2908, time 258.01ms, mfu 0.54%
iter 356: loss 2.3270, time 223.03ms, mfu 0.55%
iter 357: loss 2.2855, time 226.56ms, mfu 0.55%
iter 358: loss 2.3086, time 232.04ms, mfu 0.55%
iter 359: loss 2.3577, time 228.02ms, mfu 0.55%
iter 360: loss 2.2365, time 227.56ms, mfu 0.55%
iter 361: loss 2.4014, time 233.02ms, mfu 0.55%
iter 362: loss 2.1842, time 216.03ms, mfu 0.56%
iter 363: loss 2.2972, time 209.02ms, mfu 0.56%
iter 364: loss 2.3068, time 240.54ms, mfu 0.56%
iter 365: loss 2.4186, time 234.03ms, mfu 0.56%
iter 366: loss 2.2291, time 222.04ms, mfu 0.56%
iter 367: loss 2.2540, time 261.62ms, mfu 0.56%
iter 368: loss 2.3120, time 253.01ms, mfu 0.55%
iter 369: loss 2.4295, time 233.70ms, mfu 0.55%
iter 370: loss 2.3156, time 236.46ms, mfu 0.55%
iter 371: loss 2.3069, time 225.06ms, mfu 0.55%
iter 372: loss 2.3503, time 239.54ms, mfu 0.55%
iter 373: loss 2.3326, time 246.02ms, mfu 0.55%
iter 374: loss 2.2004, time 236.11ms, mfu 0.55%
iter 375: loss 2.2577, time 235.56ms, mfu 0.55%
iter 376: loss 2.2428, time 230.55ms, mfu 0.55%
iter 377: loss 2.3243, time 217.03ms, mfu 0.56%
iter 378: loss 2.2715, time 216.13ms, mfu 0.56%
iter 379: loss 2.3029, time 225.99ms, mfu 0.56%
iter 380: loss 2.1942, time 239.63ms, mfu 0.56%
iter 381: loss 2.3742, time 223.05ms, mfu 0.56%
iter 382: loss 2.2154, time 234.54ms, mfu 0.56%
iter 383: loss 2.3289, time 222.02ms, mfu 0.56%
iter 384: loss 2.2366, time 255.02ms, mfu 0.56%
iter 385: loss 2.2814, time 241.54ms, mfu 0.56%
iter 386: loss 2.2697, time 229.02ms, mfu 0.56%
iter 387: loss 2.3339, time 220.03ms, mfu 0.56%
iter 388: loss 2.2646, time 239.34ms, mfu 0.56%
iter 389: loss 2.2641, time 230.07ms, mfu 0.56%
iter 390: loss 2.3616, time 219.02ms, mfu 0.56%
iter 391: loss 2.3006, time 224.08ms, mfu 0.56%
iter 392: loss 2.1646, time 231.56ms, mfu 0.56%
iter 393: loss 2.2390, time 226.07ms, mfu 0.56%
iter 394: loss 2.4371, time 235.03ms, mfu 0.56%
iter 395: loss 2.3008, time 219.05ms, mfu 0.57%
iter 396: loss 2.3350, time 236.08ms, mfu 0.56%
iter 397: loss 2.1870, time 239.38ms, mfu 0.56%
iter 398: loss 2.2953, time 246.63ms, mfu 0.56%
iter 399: loss 2.1514, time 207.01ms, mfu 0.57%
step 400: train loss 2.1927, val loss 2.2253
saving checkpoint to C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e256_bs8_it2000_do01
iter 400: loss 2.2816, time 1175.34ms, mfu 0.52%
iter 401: loss 2.1996, time 221.11ms, mfu 0.53%
iter 402: loss 2.1905, time 221.52ms, mfu 0.53%
iter 403: loss 2.2513, time 231.03ms, mfu 0.54%
iter 404: loss 2.3414, time 252.52ms, mfu 0.53%
iter 405: loss 2.2959, time 258.53ms, mfu 0.53%
iter 406: loss 2.1795, time 277.53ms, mfu 0.52%
