Overriding: dataset = shakespeare_char
Overriding: block_size = 64
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: batch_size = 16
Overriding: max_iters = 2000
Overriding: dropout = 0.2
Overriding: eval_interval = 200
Overriding: compile = False
Overriding: out_dir = C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e128_bs16_it2000_do02
Overriding: wandb_log = False
tokens per iteration will be: 40,960
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: True
iter 354: loss 2.6499, time 317.27ms, mfu 0.23%
iter 355: loss 2.6139, time 304.77ms, mfu 0.23%
iter 356: loss 2.6174, time 296.72ms, mfu 0.23%
iter 357: loss 2.7026, time 266.37ms, mfu 0.23%
iter 358: loss 2.5958, time 299.19ms, mfu 0.23%
iter 359: loss 2.6547, time 282.15ms, mfu 0.23%
iter 360: loss 2.6424, time 335.40ms, mfu 0.23%
iter 361: loss 2.6111, time 354.04ms, mfu 0.22%
iter 362: loss 2.5686, time 285.44ms, mfu 0.22%
iter 363: loss 2.6134, time 294.83ms, mfu 0.23%
iter 364: loss 2.6883, time 306.49ms, mfu 0.23%
iter 365: loss 2.5932, time 344.12ms, mfu 0.22%
iter 366: loss 2.6306, time 290.48ms, mfu 0.22%
iter 367: loss 2.6476, time 265.69ms, mfu 0.23%
iter 368: loss 2.6260, time 324.60ms, mfu 0.22%
iter 369: loss 2.5595, time 305.28ms, mfu 0.22%
iter 370: loss 2.6429, time 288.25ms, mfu 0.23%
iter 371: loss 2.6276, time 319.14ms, mfu 0.22%
iter 372: loss 2.5901, time 311.57ms, mfu 0.22%
iter 373: loss 2.5911, time 534.78ms, mfu 0.21%
iter 374: loss 2.5933, time 384.52ms, mfu 0.21%
iter 375: loss 2.6433, time 362.48ms, mfu 0.21%
iter 376: loss 2.6490, time 327.32ms, mfu 0.21%
iter 377: loss 2.6163, time 300.86ms, mfu 0.21%
iter 378: loss 2.5982, time 298.02ms, mfu 0.21%
iter 379: loss 2.5315, time 288.72ms, mfu 0.21%
iter 380: loss 2.6078, time 414.22ms, mfu 0.21%
iter 381: loss 2.5474, time 356.15ms, mfu 0.21%
iter 382: loss 2.5928, time 310.42ms, mfu 0.21%
iter 383: loss 2.6466, time 276.04ms, mfu 0.21%
iter 384: loss 2.5163, time 295.76ms, mfu 0.21%
iter 385: loss 2.5851, time 311.40ms, mfu 0.21%
iter 386: loss 2.5686, time 317.51ms, mfu 0.21%
iter 387: loss 2.5595, time 338.63ms, mfu 0.21%
iter 388: loss 2.6067, time 274.32ms, mfu 0.22%
iter 389: loss 2.6279, time 371.97ms, mfu 0.21%
iter 390: loss 2.6284, time 334.73ms, mfu 0.21%
iter 391: loss 2.5663, time 414.97ms, mfu 0.21%
iter 392: loss 2.6306, time 322.31ms, mfu 0.21%
iter 393: loss 2.5830, time 416.84ms, mfu 0.20%
iter 394: loss 2.5657, time 430.56ms, mfu 0.20%
iter 395: loss 2.5417, time 294.75ms, mfu 0.20%
iter 396: loss 2.5518, time 309.29ms, mfu 0.20%
iter 397: loss 2.5189, time 260.11ms, mfu 0.21%
iter 398: loss 2.5785, time 423.21ms, mfu 0.20%
iter 399: loss 2.5764, time 257.83ms, mfu 0.21%
step 400: train loss 2.5175, val loss 2.5222
saving checkpoint to C:\Users\dunke\nanoGPT_CSCE5218\out\b64_l4_h4_e128_bs16_it2000_do02
iter 400: loss 2.5654, time 1495.71ms, mfu 0.19%
iter 401: loss 2.5940, time 274.77ms, mfu 0.20%
iter 402: loss 2.5393, time 267.88ms, mfu 0.20%
iter 403: loss 2.6141, time 276.33ms, mfu 0.21%
iter 404: loss 2.5224, time 274.08ms, mfu 0.21%
iter 405: loss 2.5897, time 272.59ms, mfu 0.22%
iter 406: loss 2.5263, time 293.47ms, mfu 0.22%
iter 407: loss 2.5099, time 266.51ms, mfu 0.22%
iter 408: loss 2.5683, time 268.97ms, mfu 0.22%
iter 409: loss 2.5313, time 272.20ms, mfu 0.23%
iter 410: loss 2.5647, time 276.92ms, mfu 0.23%
iter 411: loss 2.5778, time 272.40ms, mfu 0.23%
iter 412: loss 2.5661, time 263.37ms, mfu 0.23%
iter 413: loss 2.5054, time 264.31ms, mfu 0.24%
iter 414: loss 2.5452, time 295.25ms, mfu 0.24%
iter 415: loss 2.5614, time 258.50ms, mfu 0.24%
